id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19945644,"Nice, clean and cozy apartment room 201",141332574,Boonchawee,,Bang Kapi,13.76244,100.65224,Private room,1200,1,0,,,3,180,0,
19792773,"Near Government cent,Passport control, Immigration",131935092,Chonnaree,,Lak Si,13.88794,100.57689,Private room,925,2,0,,,1,179,0,
19957544,ASSEMBLY HOSTEL - ROOM1),53512783,Win,,Bang Kho laen,13.70694,100.51015,Private room,334,1,45,2020-12-06,0.72,4,353,0,
19796786,Sunshine Bang-na Apartment,139812272,Serenan,,Bang Na,13.66497,100.6309,Entire home/apt,664,2,0,,,1,363,0,
19972019,Private Apartment (Big park )799,44798819,Uriwan,,Bangkok Noi,13.78025,100.46962,Private room,799,180,0,,,1,364,0,
19801815,Sweet Summer private room :) DMK Donmueang,26534119,Saranya,,Don Mueang,13.93305,100.59065,Private room,750,60,2,2018-12-03,0.04,5,365,0,
19811154,Luxury Modern Apartment in Heart of Bangkok,112624574,Anita,,Phra Khanong,13.68491,100.61347,Entire home/apt,3328,14,0,,,2,364,0,
19972160,Sailom Family,124520056,Noppawan,,Phaya Thai,13.78271,100.54485,Private room,1700,1,0,,,1,90,0,
19811632,Luxury Living Siam,112624574,Anita,,Pom Prap Sattru Phai,13.74706,100.51523,Entire home/apt,2219,14,0,,,2,362,0,
19974029,Cozy 1 bedroom 5 mins from Rama9 MRT,118301712,Kreeta,,Din Daeng,13.75776,100.56329,Entire home/apt,1150,1,1,2019-07-02,0.03,2,179,0,
19812959,黄渤电影取景码头附近公寓 曼谷市中心 地铁MRT phetchaburi站 机场线Makkasan站,116516356,Suna,,Ratchathewi,13.74895,100.55038,Entire home/apt,1213,7,83,2020-03-15,1.32,1,0,0,
19976789,Near airport BKK WIFI Breakfast/airport transfer,133213617,Nuttrose,,Min Buri,13.79644,100.70965,Private room,990,1,0,,,3,364,0,
19815026,Nice room with 2 bedrooms 1 bath. Fully furnished,130437649,Nok,,Phra Khanong,13.68318,100.60347,Private room,1000,30,0,,,1,87,0,
19977073,"Nice, clean and cozy apartment room 202",141332574,Boonchawee,,Bang Kapi,13.76357,100.65205,Private room,1200,1,0,,,3,180,0,
19831381,"Peaceful Villa, Near to BTS, A different BKK Life",140156246,Brian,,Phra Khanong,13.68506,100.60856,Private room,8500,1,0,,,2,89,0,
19832165,Great room,139610733,Piangrutai,,Khlong Toei,13.72444,100.56732,Entire home/apt,4250,2,0,,,1,269,0,
19985067,Sukhumvit private room near BTS,45327946,Jakkrapant,,Phra Khanong,13.68668,100.60545,Private room,1080,1,0,,,1,365,0,
19833385,W Station@離BTS 1分鐘 環境優雅 雙床 1 卧1 卫 免費迎賓飲料 WI-FI,124182824,W Station,,Khlong San,13.72023,100.4932,Hotel room,2517,1,0,,,6,364,0,
19987868,BANGKOK PERSPECTIVE VIEW : 2BR/WIFI/MRT,79624768,Eva,,Huai Khwang,13.7608,100.56981,Entire home/apt,1843,1,42,2022-09-07,0.68,42,88,3,
19842130,TidaResidence@I House RCA,95809654,Tida,,Huai Khwang,13.74738,100.59278,Entire home/apt,695,6,0,,,1,174,0,
19988980,near Airport BKK WIFI Breakfast/airport transfer,133213617,Nuttrose,,Saphan Sung,13.79405,100.70838,Private room,780,1,1,2019-08-05,0.03,3,364,0,
19991444,"Old Town in Bkk 350m fr BTS 
New clean room",34079268,Prapaporn,,Khlong San,13.72065,100.49743,Private room,1918,5,0,,,2,365,0,
19847558,Eco-friendly 2B Apartment in community of Ekkamai.,33550104,Kasamsan,,Vadhana,13.73352,100.59044,Entire home/apt,1601,2,38,2022-09-09,0.60,7,172,2,
